type,text,hint,dimension,options
LIKERT,"I understand DBN's strategic priorities clearly enough to explain them in my own words.",,Strategic Coherence,
LIKERT,"I understand how my role contributes to DBN's mandate and strategic objectives.",,Strategic Coherence,
LIKERT,"When priorities compete, I know what DBN's strategy says should come first.",,Strategic Coherence,
LIKERT,"In my area, day-to-day decisions and work priorities are guided by DBN's strategic direction.",,Strategic Coherence,
LIKERT,"Work between departments is coordinated around shared DBN outcomes, not only departmental priorities.",,Systems Intelligence,
LIKERT,"DBN's systems and processes make it easy for teams to share information and complete work across functions.",,Systems Intelligence,
LIKERT,"When work moves from one team to another, responsibilities, timelines and handovers are clear.",,Systems Intelligence,
LIKERT,"Leaders and managers make decisions with the impact on the full DBN value chain in mind.",,Systems Intelligence,
LIKERT,"My role, responsibilities, performance expectations and decision boundaries are clear.",,Execution Discipline,
LIKERT,"Performance standards in my area are clear, measurable and applied consistently.",,Execution Discipline,
LIKERT,"Decisions and agreed actions are followed through within reasonable timeframes.",,Execution Discipline,
LIKERT,"Underperformance or non-delivery is addressed fairly, directly and timeously.",,Execution Discipline,
LIKERT,"I understand DBN's purpose and why its work matters for Namibia.",,Purpose and Meaning,
LIKERT,"I can see a clear link between my work and DBN's development mandate.",,Purpose and Meaning,
LIKERT,"DBN's purpose gives meaning to the work I do.",,Purpose and Meaning,
LIKERT,"I am proud of the impact DBN is working to create.",,Purpose and Meaning,
LIKERT,"I understand where decisions that affect my work should be made and who has authority to make them.",,Governance and Decision-rights,
LIKERT,"Decisions are made at the right level without unnecessary escalation.",,Governance and Decision-rights,
LIKERT,"Decisions that affect my work are communicated clearly and in time for me to act on them.",,Governance and Decision-rights,
LIKERT,"Approval processes help manage risk without unnecessarily delaying delivery.",,Governance and Decision-rights,
LIKERT,"My contribution to DBN's work is noticed and acknowledged in a fair way.",,Value Recognition,
LIKERT,"Recognition, reward and progression are based on contribution and performance, not personal relationships.",,Value Recognition,
LIKERT,"I receive regular, honest feedback that helps me understand how I am performing.",,Value Recognition,
LIKERT,"Good performance is recognised in ways that encourage accountability, motivation and growth.",,Value Recognition,
LIKERT,"Leaders seek to understand issues properly before drawing conclusions.",,Listening and Learning,
LIKERT,"Feedback from employees is treated as useful information, even when it is difficult to hear.",,Listening and Learning,
LIKERT,"Lessons from work, projects and setbacks are shared so that teams can improve.",,Listening and Learning,
LIKERT,"Employee feedback and lessons learned lead to visible improvements in how work is done at DBN.",,Listening and Learning,
LIKERT,"My manager gives clear and consistent direction about priorities and expectations.",,Leadership Influence,
LIKERT,"My manager is accessible when I need guidance, clarity or support.",,Leadership Influence,
LIKERT,"My manager models the standards and behaviours they expect from others.",,Leadership Influence,
LIKERT,"My manager helps create a team environment where people can perform, learn and work well together.",,Leadership Influence,
LIKERT,"I can raise concerns about work issues without fear of negative consequences.",,Psychological Safety,
LIKERT,"People can respectfully question ideas or decisions, regardless of level or position.",,Psychological Safety,
LIKERT,"Mistakes are discussed in a way that supports learning and improvement, not blame.",,Psychological Safety,
LIKERT,"I feel respected and valued at DBN as a person, not only for the work I deliver.",,Psychological Safety,
LIKERT,"I am encouraged to suggest better ways of working, even when they challenge existing practice.",,Innovation,
LIKERT,"When a well-considered new approach does not work, it is treated as a learning opportunity.",,Innovation,
LIKERT,"DBN creates space for people across teams to develop and test new ideas.",,Innovation,
LIKERT,"New ideas that can improve DBN's mandate delivery are supported with enough time, attention or resources to move forward.",,Innovation,
LIKERT,"My team adapts effectively when priorities, conditions or stakeholder demands change.",,Agility and Resilience,
LIKERT,"Under pressure, we find practical solutions without compromising quality, ethics or service.",,Agility and Resilience,
LIKERT,"Decisions are made quickly enough to keep important work moving.",,Agility and Resilience,
LIKERT,"After setbacks or disruptions, DBN reflects, learns and adjusts its approach.",,Agility and Resilience,
LIKERT,"I understand who depends on my work, both inside and outside DBN, and what they need from me.",,Customer Orientation,
LIKERT,"We consider the impact of our decisions on customers, stakeholders and internal service users.",,Customer Orientation,
LIKERT,"Customer and stakeholder needs shape how DBN plans, prioritises and improves work.",,Customer Orientation,
LIKERT,"When a customer or stakeholder raises a concern, it is taken seriously and responded to within a reasonable time.",,Customer Orientation,
LONG_TEXT,"What is working well in your division that DBN should protect and build on?",,Open-ended,
LONG_TEXT,"Where do handovers, processes, systems or decision-making slow down your division's ability to deliver?",,Open-ended,
LONG_TEXT,"What should DBN continue, stop or change to strengthen its culture and employee experience?",,Open-ended,
LONG_TEXT,"What is one issue leadership may not fully see or understand, but needs to take seriously?",,Open-ended,
